,fit_time,score_time,test_accuracy,test_precision,test_recall,test_logloss
468,0.015355825424194336,0.00949716567993164,0.8425,0.8385961227313752,0.8425,0.36577320226558707
469,0.015329122543334961,0.008862972259521484,0.8275,0.8229399330542219,0.8275,0.38177901389581254
470,0.01523900032043457,0.00899815559387207,0.8525,0.8494834428024083,0.8525,0.359967659587355
471,0.015429973602294922,0.00922393798828125,0.84625,0.8436243391039462,0.84625,0.3659366091594163
472,0.015836000442504883,0.008886098861694336,0.83375,0.830210046630207,0.83375,0.39159995338714765
473,0.015611886978149414,0.008825063705444336,0.8175,0.8117374685466036,0.8175,0.38828772457577687
474,0.015109062194824219,0.008814811706542969,0.85,0.8470002085064546,0.85,0.35042867499354474
475,0.015123128890991211,0.008809804916381836,0.84,0.8366910952824266,0.84,0.3626760151407775
476,0.01584005355834961,0.009289026260375977,0.84125,0.8381574268929265,0.84125,0.3665189006171134
477,0.015451908111572266,0.009016036987304688,0.84375,0.8420299120738389,0.84375,0.3796855367380442
478,0.015567302703857422,0.009232759475708008,0.85,0.8478580265024647,0.85,0.3584488899255794
479,0.015430212020874023,0.009132862091064453,0.82625,0.8212095196470196,0.82625,0.3802254509106722
480,0.015374183654785156,0.008877992630004883,0.84625,0.8444255530170202,0.84625,0.3647363712478471
481,0.01533198356628418,0.008858203887939453,0.84,0.8362350239482723,0.84,0.3707146125248131
482,0.015341997146606445,0.009279966354370117,0.8475,0.8447511263095044,0.8475,0.37323893734084046
483,0.016690969467163086,0.009385824203491211,0.85625,0.8539486091918727,0.85625,0.35159671941130555
484,0.015664100646972656,0.009222030639648438,0.835,0.8306636698433785,0.835,0.37552685422579046
485,0.016274213790893555,0.009757757186889648,0.82375,0.8188704102853821,0.82375,0.39072423044362947
486,0.015608072280883789,0.009040117263793945,0.84375,0.8412410076277389,0.84375,0.3698105821166669
487,0.016093969345092773,0.009153127670288086,0.8275,0.8224854553591407,0.8275,0.36211376953066016
488,0.015650033950805664,0.009479045867919922,0.8375,0.8359201731428431,0.8375,0.3708523828238944
489,0.016056060791015625,0.009933948516845703,0.84375,0.8404594464228369,0.84375,0.37579454240302723
490,0.01620793342590332,0.009122133255004883,0.8325,0.828677217633373,0.8325,0.38396997358907514
491,0.015477895736694336,0.009304046630859375,0.83,0.8250013254337483,0.83,0.3531528598416692
492,0.015614032745361328,0.009284734725952148,0.86625,0.8641690370858793,0.86625,0.33023048500495017
493,0.015709877014160156,0.009066104888916016,0.83375,0.8294260900961425,0.83375,0.3718788893792627
494,0.015457868576049805,0.008768796920776367,0.82375,0.8194750697564679,0.82375,0.3885419032050255
495,0.015589237213134766,0.008886098861694336,0.8525,0.8498901550594414,0.8525,0.36768755927455143
496,0.01522207260131836,0.009063005447387695,0.865,0.8640831072127216,0.865,0.34090338601524084
497,0.0157010555267334,0.00907588005065918,0.8325,0.8292141336192614,0.8325,0.3817892683344145
498,0.01559305191040039,0.009425878524780273,0.8175,0.8150304689113819,0.8175,0.43160790509444835
499,0.016215085983276367,0.009923696517944336,0.845,0.8415085430052236,0.845,0.3590953965127001
500,0.015276193618774414,0.008775949478149414,0.84,0.8369191128638803,0.84,0.3684582346489423
501,0.015092134475708008,0.00884389877319336,0.83625,0.8327501482673897,0.83625,0.3595127254327369
502,0.015402078628540039,0.008953094482421875,0.84625,0.8429628399326777,0.84625,0.34712746393726457
503,0.015101909637451172,0.00880575180053711,0.83625,0.8324686177669741,0.83625,0.3712899929862381
504,0.01694798469543457,0.010014057159423828,0.8475,0.8440762883554253,0.8475,0.36049503482925793
505,0.017625093460083008,0.010988712310791016,0.8375,0.8336545513243371,0.8375,0.3823445499740105
506,0.01576709747314453,0.010232925415039062,0.83875,0.835159659540166,0.83875,0.36289029908014825
507,0.01754307746887207,0.010182857513427734,0.82625,0.8222065142887272,0.82625,0.4033486986934861
508,0.016863346099853516,0.010313987731933594,0.84875,0.8470298619457322,0.84875,0.3970572353113924
509,0.016040802001953125,0.009361982345581055,0.84375,0.8424962363923835,0.84375,0.35521398775510904
510,0.015692949295043945,0.009013891220092773,0.84375,0.8400767821031345,0.84375,0.36348714438555535
511,0.016220808029174805,0.009388208389282227,0.84375,0.8412577639751553,0.84375,0.36679779713923294
512,0.015609979629516602,0.009077072143554688,0.85375,0.8517015680432016,0.85375,0.3516749343386793
513,0.015417814254760742,0.008809089660644531,0.825,0.8214747035294694,0.825,0.3940171143081939
514,0.015383720397949219,0.00914621353149414,0.85375,0.8508224001543507,0.85375,0.36156047230097577
515,0.015911102294921875,0.008888006210327148,0.84625,0.8449799779066558,0.84625,0.3783592128147388
516,0.015415191650390625,0.008740901947021484,0.8375,0.8332942036276093,0.8375,0.3594661492886641
517,0.015098810195922852,0.008764266967773438,0.825,0.8212542774041893,0.825,0.3893539439367683
518,0.01534891128540039,0.008744001388549805,0.835,0.8306561473098836,0.835,0.3656736517297747
519,0.015599727630615234,0.008881092071533203,0.8375,0.8338228383458648,0.8375,0.37578258871395087
520,0.015539169311523438,0.008905887603759766,0.82875,0.8247358047657011,0.82875,0.39337290615822323
521,0.01579904556274414,0.008984088897705078,0.83,0.8261432961145379,0.83,0.3856578591443066
522,0.015704870223999023,0.00896310806274414,0.8525,0.8493214627491703,0.8525,0.3536218306547065
523,0.015608787536621094,0.008790016174316406,0.8475,0.845099071059012,0.8475,0.36774828340320703
524,0.01540517807006836,0.00872492790222168,0.84125,0.8394026158735345,0.84125,0.3776353638920334
525,0.015311956405639648,0.0087890625,0.83625,0.8316430364750892,0.83625,0.3564793187673477
526,0.01553201675415039,0.009329795837402344,0.835,0.831925116659051,0.835,0.3893633329029916
527,0.015362739562988281,0.008898019790649414,0.85875,0.8570152903578933,0.85875,0.3519672334132375
528,0.015325069427490234,0.009552001953125,0.82625,0.8216965206006447,0.82625,0.36798993691578713
529,0.015232086181640625,0.00882577896118164,0.845,0.8418507923906792,0.845,0.36154827347949053
530,0.015397071838378906,0.009042978286743164,0.8275,0.8237533402642971,0.8275,0.3815634299018275
531,0.015311717987060547,0.008838176727294922,0.8425,0.8392357622249094,0.8425,0.3494856441546824
532,0.015171051025390625,0.008832931518554688,0.825,0.8215517158777983,0.825,0.38163547885886456
533,0.01518392562866211,0.008800983428955078,0.8325,0.8284607095490716,0.8325,0.37000987463615886
