,
D,3335
B,3326
A,3305
A,3306
B,3327
A,3308
D,3336
A,3305
D,3332
B,3326
B,3325
D,3334
A,3306
A,3308
C,3331
D,3329
A,3307
A,3309
C,3330
A,3306
B,3324
C,3328
D,3332
B,3326
D,3331
C,3334
A,3307
D,3332
D,3336
D,3330
A,3309
C,3328
B,3327
A,3309
B,3327
B,3327
C,3329
B,3325
D,3333
D,3334
B,3329
A,3308
D,3332
C,3330
A,3308
B,3329
C,3330
A,3309
D,3332
C,3328
D,3335
A,3306
C,3330
A,3307
C,3331
A,3306
D,3335
B,3326
B,3328
C,3328
D,3333
B,3326
D,3334
A,3304
A,3305
C,3328
C,3329
A,3307
D,3333
B,3324
A,3306
D,3332
B,3325
B,3327
A,3303
A,3307
D,3331
C,3328
B,3327
C,3329
A,3306
D,3335
D,3334
C,3327
D,3332
B,3325
A,3308
C,3328
C,3328
B,3329
D,3333
C,3331
A,3308
B,3328
B,3326
D,3334
D,3333
B,3326
C,3328
B,3325
B,3326
C,3329
C,3328
B,3328
D,3332
D,3334
C,3328
C,3328
C,3329
B,3327
B,3323
A,3303
B,3326
B,3326
A,3305
A,3306
B,3324
D,3331
B,3323
D,3333
C,3326
B,3322
C,3330
D,3335
C,3328
B,3324
C,3328
A,3305
B,3327
B,3324
D,3330
C,3328
B,3320
C,3327
C,3328
B,3325
D,3331
A,3306
A,3306
C,3330
A,3308
C,3327
A,3307
C,3331
B,3324
B,3324
A,3309
D,3331
D,3333
D,3330
D,3333
B,3327
A,3306
D,3330
C,3328
C,3331
D,3334
B,3328
D,3332
A,3308
C,3332
A,3309
B,3326
C,3332
A,3307
A,3307
D,3332
B,3326
C,3332
C,3333
D,3336
B,3326
C,3330
B,3327
A,3307
D,3334
D,3334
A,3306
D,3331
D,3333
C,3329
C,3330
C,3330
C,3330
A,3307
D,3330
B,3326
D,3336
A,3306
C,3331
A,3305
C,3330
D,3334
A,3307
A,3307
D,3336
B,3324
C,3330
D,3334
B,3326
A,3307
D,3333
A,3305
B,3326
D,3333
A,3308
C,3328
B,3324
C,3329
A,3304
A,3306
B,3326
C,3329
C,3330
A,3307
A,3307
C,3328
B,3325
C,3331
C,3328
C,3324
A,3307
B,3325
B,3325
D,3328
D,3332
C,3328
D,3336
A,3307
B,3328
A,3301
C,3334
C,3330
D,3332
B,3326
C,3330
D,3332
D,3333
C,3329
A,3309
C,3331
C,3328
D,3332
C,3327
D,3333
D,3332
A,3306
D,3333
A,3306
B,3327
C,3333
B,3326
