,fit_time,score_time,test_accuracy,test_precision,test_recall,test_logloss
0,0.014928340911865234,0.00792694091796875,0.6166666666666667,0.7298399377695828,0.6166666666666667,0.8621286962169094
1,0.012066125869750977,0.007772922515869141,0.655,0.7413724850008929,0.655,0.8000626244278358
2,0.012138843536376953,0.013476133346557617,0.655,0.7581438169673465,0.655,0.7760081507250735
3,0.012936115264892578,0.008094072341918945,0.6383333333333333,0.7450383597984725,0.6383333333333333,0.8288007712168431
4,0.012368202209472656,0.007493734359741211,0.6433333333333333,0.7383543157367207,0.6433333333333333,0.8289243427522338
5,0.011693000793457031,0.007296085357666016,0.6283333333333333,0.7355462348586425,0.6283333333333333,0.8189817076984854
6,0.012152910232543945,0.007673978805541992,0.6816666666666666,0.7647997835497836,0.6816666666666666,0.7407631517638926
7,0.011791706085205078,0.007601261138916016,0.6633333333333333,0.7644386868286773,0.6633333333333333,0.7834563303014529
8,0.012436866760253906,0.00770115852355957,0.6216666666666667,0.7380615071780705,0.6216666666666667,0.8363913773174064
9,0.012319087982177734,0.007720947265625,0.6383333333333333,0.7493850224030185,0.6383333333333333,0.8171568150028808
10,0.01254129409790039,0.007944822311401367,0.6233333333333333,0.7391766145577056,0.6233333333333333,0.8367695710670088
11,0.014323234558105469,0.008280754089355469,0.645,0.7468665480221149,0.645,0.8067145617570427
12,0.01204991340637207,0.007947206497192383,0.6316666666666667,0.7393402879811931,0.6316666666666667,0.8161681997463598
13,0.012202978134155273,0.007420778274536133,0.67,0.7667470461371545,0.67,0.7696523935409345
14,0.01195383071899414,0.007919073104858398,0.6783333333333333,0.7586303159895461,0.6783333333333333,0.7813224803539331
15,0.012197017669677734,0.007519960403442383,0.6566666666666666,0.7525565221981212,0.6566666666666666,0.8087393661244591
16,0.011536836624145508,0.0072100162506103516,0.6333333333333333,0.7386417448693933,0.6333333333333333,0.8128601618177919
17,0.011575937271118164,0.007255077362060547,0.625,0.7406961982502426,0.625,0.8516784373638548
18,0.011661052703857422,0.00745391845703125,0.62,0.7347823182876043,0.62,0.82796154423514
19,0.012034177780151367,0.0075397491455078125,0.6583333333333333,0.74759390283089,0.6583333333333333,0.7812632863466102
20,0.011584043502807617,0.0072519779205322266,0.6466666666666666,0.751123008935509,0.6466666666666666,0.7949597955247631
21,0.011526107788085938,0.0071909427642822266,0.6216666666666667,0.7299933451641526,0.6216666666666667,0.836685993622076
22,0.011553049087524414,0.007173776626586914,0.6383333333333333,0.7393489055244955,0.6383333333333333,0.8203307579798459
23,0.011504888534545898,0.007184028625488281,0.6466666666666666,0.7532488818671674,0.6466666666666666,0.8181819807575434
24,0.01328587532043457,0.007659912109375,0.6033333333333334,0.7238773692591142,0.6033333333333334,0.8481352512481312
25,0.012000083923339844,0.0075969696044921875,0.68,0.7745631124234228,0.68,0.7534330529676784
26,0.011889934539794922,0.00791788101196289,0.645,0.7431064306064306,0.645,0.8131170369597334
27,0.011836767196655273,0.007962226867675781,0.6683333333333333,0.7481621016189797,0.6683333333333333,0.7702481899820619
28,0.012117862701416016,0.007569074630737305,0.6483333333333333,0.7513081573630571,0.6483333333333333,0.8187554257646397
29,0.011851072311401367,0.007415056228637695,0.6433333333333333,0.7521431127012522,0.6433333333333333,0.8132943032586126
30,0.011775970458984375,0.007550954818725586,0.6416666666666667,0.7453952608522502,0.6416666666666667,0.815396507115203
31,0.01178121566772461,0.007349967956542969,0.65,0.7523902362062749,0.65,0.8213813240572925
32,0.011786222457885742,0.007699012756347656,0.6416666666666667,0.7451321196977503,0.6416666666666667,0.7946182692672062
33,0.011893033981323242,0.007690906524658203,0.64,0.7327742830202933,0.64,0.8265130684805413
34,0.011894941329956055,0.0077800750732421875,0.68,0.7773699178690786,0.68,0.7569308639142159
35,0.011793136596679688,0.007481098175048828,0.6333333333333333,0.7370539468941488,0.6333333333333333,0.8204308978836564
36,0.011748075485229492,0.007703065872192383,0.6383333333333333,0.7463194902219292,0.6383333333333333,0.8200449416892089
37,0.01186990737915039,0.007889032363891602,0.6233333333333333,0.7216628989361702,0.6233333333333333,0.8282868488451297
38,0.012089967727661133,0.007769107818603516,0.655,0.7592909235766379,0.655,0.8183000079483217
39,0.012255191802978516,0.007543802261352539,0.6383333333333333,0.7469975041671564,0.6383333333333333,0.793412973749508
40,0.011687278747558594,0.00718379020690918,0.6533333333333333,0.7565901316927189,0.6533333333333333,0.7871773439558176
41,0.011467933654785156,0.007203817367553711,0.615,0.7242009279424297,0.615,0.8426579065545567
42,0.01151418685913086,0.007176876068115234,0.6183333333333333,0.7212943293364837,0.6183333333333333,0.8416964986440921
43,0.011456012725830078,0.007324934005737305,0.6383333333333333,0.737665049643637,0.6383333333333333,0.8151566650423537
44,0.011478185653686523,0.007333993911743164,0.6633333333333333,0.7540044331462288,0.6633333333333333,0.7883670340490573
45,0.011862993240356445,0.0076580047607421875,0.6533333333333333,0.7568857538879091,0.6533333333333333,0.8157931103329688
46,0.011816978454589844,0.00740504264831543,0.635,0.7357176809017617,0.635,0.8223799235530114
47,0.011612892150878906,0.007283210754394531,0.6833333333333333,0.7706537087175593,0.6833333333333333,0.7644400377820786
48,0.011459827423095703,0.007180213928222656,0.63,0.7441072932927504,0.63,0.8269172473391098
49,0.011424064636230469,0.007169008255004883,0.6516666666666666,0.7627064818832539,0.6516666666666666,0.7889308370994362
50,0.01251983642578125,0.019195079803466797,0.64,0.741787135423499,0.64,0.8082452164350784
51,0.017568349838256836,0.00997781753540039,0.6683333333333333,0.7644809412128554,0.6683333333333333,0.7942040022562509
52,0.014275789260864258,0.008057117462158203,0.6166666666666667,0.7343852211486935,0.6166666666666667,0.8687807377934417
53,0.014031171798706055,0.008378744125366211,0.65,0.7562099811676083,0.65,0.7767161519268793
54,0.013590574264526367,0.009149312973022461,0.6216666666666667,0.7251356121507303,0.6216666666666667,0.8236377667907511
55,0.014655113220214844,0.008074045181274414,0.6216666666666667,0.7353428927741162,0.6216666666666667,0.8461392343884238
56,0.014729976654052734,0.008473873138427734,0.6583333333333333,0.7558081729529956,0.6583333333333333,0.8086522362476823
57,0.014371871948242188,0.007750988006591797,0.64,0.7426182626178047,0.64,0.825022132917426
58,0.011811971664428711,0.007772922515869141,0.6583333333333333,0.7531958445098208,0.6583333333333333,0.774575923515448
59,0.011987924575805664,0.00732421875,0.6666666666666666,0.7543292865582037,0.6666666666666666,0.7608843170735664
60,0.011536121368408203,0.007263898849487305,0.655,0.752238772608855,0.655,0.8002305184755429
61,0.011812925338745117,0.007833003997802734,0.6766666666666666,0.7694845587526508,0.6766666666666666,0.7523959642748458
62,0.012073040008544922,0.007308006286621094,0.655,0.7551478372655778,0.655,0.7822281387632533
63,0.011539936065673828,0.007380247116088867,0.62,0.7319616088046608,0.62,0.883247368345452
64,0.011500120162963867,0.007314920425415039,0.6683333333333333,0.7569874220992364,0.6683333333333333,0.7797525273330308
65,0.011701107025146484,0.007579803466796875,0.6233333333333333,0.7274531024531024,0.6233333333333333,0.8137329479355124
66,0.011374235153198242,0.007769107818603516,0.615,0.7279669529358352,0.615,0.841460603749558
67,0.012125015258789062,0.007300853729248047,0.6516666666666666,0.7567157597814258,0.6516666666666666,0.7830383075486397
