,fit_time,score_time,test_accuracy,test_precision,test_recall,test_logloss
0,0.012150764465332031,0.04166698455810547,0.266875,0.26688022097056946,0.266875,1.3862943611198904
1,0.01362299919128418,0.05772280693054199,0.2471875,0.2471718405690249,0.2471875,1.3862943611198904
2,0.03912019729614258,0.05258607864379883,0.255625,0.255773228152921,0.255625,1.3862943611198904
3,0.011350154876708984,0.03634381294250488,0.25,0.25014964757150077,0.25,1.3862943611198904
4,0.012510061264038086,0.03944277763366699,0.241875,0.24186401425486015,0.241875,1.3862943611198904
5,0.012015104293823242,0.0350191593170166,0.2446875,0.24473141211314975,0.2446875,1.3862943611198904
6,0.012371063232421875,0.03561711311340332,0.2453125,0.24534973299044233,0.2453125,1.3862943611198904
7,0.011681795120239258,0.03590106964111328,0.254375,0.2542062187383042,0.254375,1.3862943611198904
8,0.01169586181640625,0.03586626052856445,0.2596875,0.25967994865357596,0.2596875,1.3862943611198904
9,0.012035846710205078,0.03643202781677246,0.2475,0.24744744423788037,0.2475,1.3862943611198904
10,0.012305974960327148,0.03457283973693848,0.235625,0.23566626041293745,0.235625,1.3862943611198904
11,0.012170076370239258,0.03427386283874512,0.2490625,0.2489537424151567,0.2490625,1.3862943611198904
12,0.01185297966003418,0.03471803665161133,0.25625,0.2561673992971563,0.25625,1.3862943611198904
13,0.0118560791015625,0.03690004348754883,0.255625,0.2556471704728986,0.255625,1.3862943611198904
14,0.011281013488769531,0.03543806076049805,0.2496875,0.24975100049585258,0.24968749999999995,1.3862943611198904
15,0.01176309585571289,0.03671884536743164,0.24875,0.24877027738659738,0.24875,1.3862943611198904
16,0.011785030364990234,0.03853416442871094,0.2515625,0.2511714139194241,0.2515625,1.3862943611198904
17,0.013224124908447266,0.03751778602600098,0.2396875,0.23955897651057903,0.2396875,1.3862943611198904
18,0.013047218322753906,0.03930187225341797,0.23125,0.23129082008153168,0.23125,1.3862943611198904
19,0.013645648956298828,0.04273200035095215,0.25375,0.25387145924521576,0.25375,1.3862943611198904
20,0.012709856033325195,0.04023003578186035,0.2478125,0.247797738403028,0.2478125,1.3862943611198904
21,0.013180971145629883,0.0348820686340332,0.2425,0.24239016611171002,0.2425,1.3862943611198904
22,0.011557340621948242,0.03679680824279785,0.2446875,0.2446632289889031,0.2446875,1.3862943611198904
23,0.011791229248046875,0.03819894790649414,0.239375,0.23935202290484525,0.239375,1.3862943611198904
24,0.012537002563476562,0.03606605529785156,0.248125,0.24811114542208124,0.248125,1.3862943611198904
25,0.011450052261352539,0.03525376319885254,0.2478125,0.24761077921917152,0.2478125,1.3862943611198904
26,0.012421846389770508,0.0363011360168457,0.259375,0.2594469116153198,0.259375,1.3862943611198904
27,0.01181483268737793,0.03464818000793457,0.239375,0.23917166167166168,0.239375,1.3862943611198904
