,fit_time,score_time,test_accuracy,test_precision,test_recall,test_logloss
0,0.12247824668884277,0.03766179084777832,0.27125,0.27772753841763476,0.27125,1.4519366404385148
1,0.06501984596252441,0.0219271183013916,0.26125,0.2609393004666649,0.26125,1.4519224236900692
2,0.060192108154296875,0.018553972244262695,0.25375,0.24677032227438808,0.25375,1.488197610324235
3,0.057298898696899414,0.017534255981445312,0.24,0.232138069340456,0.24,1.4786868152415713
4,0.05220603942871094,0.018838882446289062,0.25,0.24860571990310096,0.25,1.4859399010016505
5,0.05534005165100098,0.017721891403198242,0.25,0.2506062542286524,0.25,1.4730253317543969
6,0.05414557456970215,0.018458127975463867,0.25375,0.24310940662346886,0.25375,1.4752011739963766
7,0.05341386795043945,0.018226146697998047,0.2525,0.24332264957264957,0.2525,1.4645087532157965
8,0.053420066833496094,0.01766514778137207,0.2475,0.24258147504715466,0.2475,1.4624016827397355
9,0.0532228946685791,0.017214298248291016,0.23875,0.2318964899060135,0.23875,1.4876515220278634
10,0.05286812782287598,0.017262935638427734,0.255,0.2500429375437939,0.255,1.480909417772395
11,0.055977821350097656,0.01868915557861328,0.26375,0.2600808549807758,0.26375,1.4636037706391114
12,0.05765986442565918,0.018301963806152344,0.245,0.24082394513892638,0.245,1.4719781858363785
13,0.05462002754211426,0.019348859786987305,0.23125,0.22239983694386212,0.23125,1.4863176973305707
14,0.05495095252990723,0.020982980728149414,0.25,0.24466673859762175,0.25,1.4732721907316804
15,0.1350719928741455,0.030408143997192383,0.25625,0.25747481090571983,0.25625,1.4836764730289014
16,0.058187007904052734,0.019411802291870117,0.25125,0.25508111736716754,0.25125,1.454179085806659
17,0.056363821029663086,0.018484115600585938,0.25625,0.25652547129825853,0.25625,1.4671022722899767
18,0.055906057357788086,0.018187999725341797,0.265,0.265602172545488,0.265,1.4601959118967662
19,0.060272932052612305,0.025815963745117188,0.25125,0.24265235451489212,0.25125,1.4828874289640606
20,0.06273674964904785,0.01880025863647461,0.25375,0.2528942256430863,0.25375,1.4719392335236379
21,0.05453896522521973,0.020673036575317383,0.23,0.22518986971908084,0.23,1.47565691039299
22,0.05506587028503418,0.01946401596069336,0.25125,0.24701591589940386,0.25125,1.4664175347831025
23,0.057324886322021484,0.017587900161743164,0.26875,0.26384567572019146,0.26875,1.4580014391429628
24,0.05283927917480469,0.017225980758666992,0.2375,0.22402250601353357,0.2375,1.4902615490993296
25,0.12011981010437012,0.02568507194519043,0.26,0.25834691268791576,0.26,1.4760922394541227
26,0.17711901664733887,0.02561497688293457,0.25625,0.2566202295767833,0.25625,1.4646201753100463
27,0.05221891403198242,0.017971038818359375,0.25,0.2461031690168344,0.25,1.4741640280327306
28,0.052606821060180664,0.017927169799804688,0.24125,0.2373315425582407,0.24125,1.4695702116907767
29,0.05252790451049805,0.017167091369628906,0.2325,0.22941596614126009,0.2325,1.4787751197243368
30,0.052744150161743164,0.017192840576171875,0.24625,0.2546875554423694,0.24625,1.4697996277906988
31,0.053460121154785156,0.017889976501464844,0.25125,0.2503317006628092,0.25125,1.4740530074342237
32,0.05509305000305176,0.01825404167175293,0.26125,0.2518805543410445,0.26125,1.4785302679639545
33,0.056046247482299805,0.01786494255065918,0.26625,0.25769462574192425,0.26625,1.4658381928235047
34,0.05719304084777832,0.018184900283813477,0.24625,0.24111318474982504,0.24625,1.4737654364359114
